Date,Contract,Units,Volume,LowPrice,HighPrice,AvgPrice,LastPrice
7/19/2000,Dem,48,24.013,0.497,0.502,0.5,0.5
7/19/2000,Reform,5,0.025,0.005,0.005,0.005,0.005
7/19/2000,Rep,50,25,0.5,0.5,0.5,0.5
7/20/2000,Dem,"1,374",590.915,0.4,0.493,0.43,0.475
7/20/2000,Reform,"1,418",9.091,0.005,0.014,0.006,0.008
7/20/2000,Rep,"1,025",533.391,0.501,0.56,0.52,0.515
7/21/2000,Dem,182,86.622,0.435,0.499,0.476,0.499
7/21/2000,Reform,56,0.304,0.005,0.008,0.005,0.005
7/21/2000,Rep,48,24.718,0.51,0.535,0.515,0.535
7/22/2000,Dem,7,3.432,0.488,0.499,0.49,0.499
7/22/2000,Reform,13,0.086,0.005,0.012,0.007,0.005
7/22/2000,Rep,39,20.359,0.504,0.535,0.522,0.51
7/23/2000,Dem,0,0,0,0,,0.499
7/23/2000,Reform,0,0,0,0,,0.005
7/23/2000,Rep,4,2.018,0.504,0.505,0.504,0.504
7/24/2000,Dem,47,22.97,0.478,0.493,0.489,0.478
7/24/2000,Reform,33,0.25,0.006,0.009,0.008,0.006
7/24/2000,Rep,131,67.537,0.497,0.52,0.516,0.52
7/25/2000,Dem,63,30.398,0.481,0.488,0.483,0.482
7/25/2000,Reform,8,0.04,0.005,0.005,0.005,0.005
7/25/2000,Rep,8,4.12,0.515,0.515,0.515,0.515
7/26/2000,Dem,64,30.449,0.475,0.482,0.476,0.475
7/26/2000,Reform,218,1.19,0.005,0.006,0.005,0.006
7/26/2000,Rep,52,27.046,0.516,0.523,0.52,0.523
7/27/2000,Dem,81,39.551,0.48,0.491,0.488,0.491
7/27/2000,Reform,369,1.948,0.005,0.009,0.005,0.005
7/27/2000,Rep,293,149.912,0.495,0.539,0.512,0.495
7/28/2000,Dem,136,66.055,0.475,0.494,0.486,0.475
7/28/2000,Reform,0,0,0,0,,0.005
7/28/2000,Rep,18,9.179,0.503,0.525,0.51,0.506
7/29/2000,Dem,425,195.545,0.45,0.476,0.46,0.46
7/29/2000,Reform,100,0.53,0.005,0.006,0.005,0.005
7/29/2000,Rep,455,246.055,0.525,0.55,0.541,0.535
7/30/2000,Dem,0,0,0,0,,0.46
7/30/2000,Reform,40,0.2,0.005,0.005,0.005,0.005
7/30/2000,Rep,40,21.19,0.52,0.54,0.53,0.525
7/31/2000,Dem,35,16.44,0.463,0.473,0.47,0.463
7/31/2000,Reform,11,0.055,0.005,0.005,0.005,0.005
7/31/2000,Rep,88,46.382,0.524,0.536,0.527,0.536
8/1/2000,Dem,82,38.684,0.47,0.474,0.472,0.472
8/1/2000,Reform,50,0.25,0.005,0.005,0.005,0.005
